Using device: cpu
Episode 204/400 | Reward: 108.0 | Epsilon: 0.3597 | Loss: 0.653204
Episode 205/400 | Reward: 140.0 | Epsilon: 0.3579 | Loss: 0.787177
Episode 206/400 | Reward: 136.0 | Epsilon: 0.3561 | Loss: 1.012052
Episode 207/400 | Reward: 221.0 | Epsilon: 0.3543 | Loss: 0.786065
Episode 208/400 | Reward: 16.0 | Epsilon: 0.3525 | Loss: 0.406549
Episode 209/400 | Reward: 124.0 | Epsilon: 0.3508 | Loss: 0.752031
Episode 210/400 | Reward: 70.0 | Epsilon: 0.3490 | Loss: 1.002137
Episode 211/400 | Reward: 37.0 | Epsilon: 0.3473 | Loss: 1.691630
Episode 212/400 | Reward: 115.0 | Epsilon: 0.3455 | Loss: 0.929566
Episode 213/400 | Reward: 13.0 | Epsilon: 0.3438 | Loss: 0.916056
Episode 214/400 | Reward: 83.0 | Epsilon: 0.3421 | Loss: 0.872732
Episode 215/400 | Reward: 180.0 | Epsilon: 0.3404 | Loss: 1.080812
Episode 216/400 | Reward: 132.0 | Epsilon: 0.3387 | Loss: 0.846733
Episode 217/400 | Reward: 278.0 | Epsilon: 0.3370 | Loss: 1.091466
Episode 218/400 | Reward: 48.0 | Epsilon: 0.3353 | Loss: 0.748027
Episode 219/400 | Reward: 13.0 | Epsilon: 0.3336 | Loss: 0.426572
Episode 220/400 | Reward: 44.0 | Epsilon: 0.3320 | Loss: 0.740108
Episode 221/400 | Reward: 70.0 | Epsilon: 0.3303 | Loss: 0.843321
Episode 222/400 | Reward: 39.0 | Epsilon: 0.3286 | Loss: 1.176896
Episode 223/400 | Reward: 212.0 | Epsilon: 0.3270 | Loss: 0.859720
Episode 224/400 | Reward: 32.0 | Epsilon: 0.3254 | Loss: 0.491062
Episode 225/400 | Reward: 181.0 | Epsilon: 0.3237 | Loss: 0.923095
Episode 226/400 | Reward: 28.0 | Epsilon: 0.3221 | Loss: 0.369327
Episode 227/400 | Reward: 53.0 | Epsilon: 0.3205 | Loss: 0.423415
Episode 228/400 | Reward: 131.0 | Epsilon: 0.3189 | Loss: 0.958625
Episode 229/400 | Reward: 133.0 | Epsilon: 0.3173 | Loss: 0.895469
Episode 230/400 | Reward: 120.0 | Epsilon: 0.3157 | Loss: 1.011954
Episode 231/400 | Reward: 211.0 | Epsilon: 0.3141 | Loss: 1.152804
Episode 232/400 | Reward: 23.0 | Epsilon: 0.3126 | Loss: 0.730129
Episode 233/400 | Reward: 29.0 | Epsilon: 0.3110 | Loss: 0.641409
Episode 234/400 | Reward: 49.0 | Epsilon: 0.3095 | Loss: 1.094643
Episode 235/400 | Reward: 65.0 | Epsilon: 0.3079 | Loss: 0.853197
Episode 236/400 | Reward: 114.0 | Epsilon: 0.3064 | Loss: 0.982545
Episode 237/400 | Reward: 92.0 | Epsilon: 0.3048 | Loss: 1.117744
Episode 238/400 | Reward: 10.0 | Epsilon: 0.3033 | Loss: 1.196932
Episode 239/400 | Reward: 72.0 | Epsilon: 0.3018 | Loss: 0.865611
Episode 240/400 | Reward: 34.0 | Epsilon: 0.3003 | Loss: 0.843081
Episode 241/400 | Reward: 244.0 | Epsilon: 0.2988 | Loss: 1.108218
Episode 242/400 | Reward: 195.0 | Epsilon: 0.2973 | Loss: 1.019233
Episode 243/400 | Reward: 225.0 | Epsilon: 0.2958 | Loss: 0.949022
Episode 244/400 | Reward: 27.0 | Epsilon: 0.2943 | Loss: 1.167500
Episode 245/400 | Reward: 11.0 | Epsilon: 0.2929 | Loss: 1.564178
Episode 246/400 | Reward: 19.0 | Epsilon: 0.2914 | Loss: 1.171801
Episode 247/400 | Reward: 216.0 | Epsilon: 0.2899 | Loss: 0.736212
Episode 248/400 | Reward: 112.0 | Epsilon: 0.2885 | Loss: 1.000824
Episode 249/400 | Reward: 218.0 | Epsilon: 0.2870 | Loss: 0.751465
Episode 250/400 | Reward: 170.0 | Epsilon: 0.2856 | Loss: 0.829299
Episode 251/400 | Reward: 394.0 | Epsilon: 0.2842 | Loss: 1.134641
Episode 252/400 | Reward: 60.0 | Epsilon: 0.2828 | Loss: 1.006375
Episode 253/400 | Reward: 142.0 | Epsilon: 0.2813 | Loss: 0.980187
Episode 254/400 | Reward: 132.0 | Epsilon: 0.2799 | Loss: 1.090559
Episode 255/400 | Reward: 403.0 | Epsilon: 0.2785 | Loss: 0.984881
Episode 256/400 | Reward: 263.0 | Epsilon: 0.2771 | Loss: 0.838496
Episode 257/400 | Reward: 411.0 | Epsilon: 0.2758 | Loss: 0.954302
Episode 258/400 | Reward: 28.0 | Epsilon: 0.2744 | Loss: 0.841994
Episode 259/400 | Reward: 41.0 | Epsilon: 0.2730 | Loss: 1.338647
Episode 260/400 | Reward: 408.0 | Epsilon: 0.2716 | Loss: 0.858590
Episode 261/400 | Reward: 22.0 | Epsilon: 0.2703 | Loss: 1.150711
Episode 262/400 | Reward: 438.0 | Epsilon: 0.2689 | Loss: 0.871983
Episode 263/400 | Reward: 138.0 | Epsilon: 0.2676 | Loss: 0.908192
Episode 264/400 | Reward: 58.0 | Epsilon: 0.2663 | Loss: 1.752082
Episode 265/400 | Reward: 311.0 | Epsilon: 0.2649 | Loss: 0.852316
Episode 266/400 | Reward: 168.0 | Epsilon: 0.2636 | Loss: 0.804437
Episode 267/400 | Reward: 39.0 | Epsilon: 0.2623 | Loss: 0.516859
Episode 268/400 | Reward: 480.0 | Epsilon: 0.2610 | Loss: 0.831155
Episode 269/400 | Reward: 25.0 | Epsilon: 0.2597 | Loss: 0.999541
Episode 270/400 | Reward: 287.0 | Epsilon: 0.2584 | Loss: 0.646916
Episode 271/400 | Reward: 41.0 | Epsilon: 0.2571 | Loss: 0.934394
Episode 272/400 | Reward: 77.0 | Epsilon: 0.2558 | Loss: 0.968348
Episode 273/400 | Reward: 461.0 | Epsilon: 0.2545 | Loss: 0.720119
Episode 274/400 | Reward: 446.0 | Epsilon: 0.2532 | Loss: 0.671226
Episode 275/400 | Reward: 36.0 | Epsilon: 0.2520 | Loss: 0.499547
Episode 276/400 | Reward: 73.0 | Epsilon: 0.2507 | Loss: 0.683866
Episode 277/400 | Reward: 46.0 | Epsilon: 0.2495 | Loss: 0.723799
Episode 278/400 | Reward: 260.0 | Epsilon: 0.2482 | Loss: 0.627268
Episode 279/400 | Reward: 386.0 | Epsilon: 0.2470 | Loss: 0.688649
Episode 280/400 | Reward: 365.0 | Epsilon: 0.2457 | Loss: 0.558087
Episode 281/400 | Reward: 500.0 | Epsilon: 0.2445 | Loss: 0.618566
Episode 282/400 | Reward: 49.0 | Epsilon: 0.2433 | Loss: 0.529976
Episode 283/400 | Reward: 484.0 | Epsilon: 0.2421 | Loss: 0.571599
Episode 284/400 | Reward: 500.0 | Epsilon: 0.2409 | Loss: 0.571194
Episode 285/400 | Reward: 94.0 | Epsilon: 0.2397 | Loss: 0.760291
Episode 286/400 | Reward: 500.0 | Epsilon: 0.2385 | Loss: 0.551891
Episode 287/400 | Reward: 425.0 | Epsilon: 0.2373 | Loss: 0.696486
Episode 288/400 | Reward: 174.0 | Epsilon: 0.2361 | Loss: 0.508406
Episode 289/400 | Reward: 26.0 | Epsilon: 0.2349 | Loss: 0.305462
Episode 290/400 | Reward: 98.0 | Epsilon: 0.2337 | Loss: 0.652567
Episode 291/400 | Reward: 343.0 | Epsilon: 0.2326 | Loss: 0.868132
Episode 292/400 | Reward: 53.0 | Epsilon: 0.2314 | Loss: 0.726117
Episode 293/400 | Reward: 393.0 | Epsilon: 0.2302 | Loss: 0.783946
Episode 294/400 | Reward: 500.0 | Epsilon: 0.2291 | Loss: 0.885817
Episode 295/400 | Reward: 287.0 | Epsilon: 0.2279 | Loss: 0.720162
Episode 296/400 | Reward: 47.0 | Epsilon: 0.2268 | Loss: 0.528136
Episode 297/400 | Reward: 298.0 | Epsilon: 0.2257 | Loss: 0.609500
Episode 298/400 | Reward: 283.0 | Epsilon: 0.2245 | Loss: 0.847593
Episode 299/400 | Reward: 76.0 | Epsilon: 0.2234 | Loss: 1.030698
Episode 300/400 | Reward: 27.0 | Epsilon: 0.2223 | Loss: 0.212241
Episode 301/400 | Reward: 500.0 | Epsilon: 0.2212 | Loss: 0.923425
Episode 302/400 | Reward: 222.0 | Epsilon: 0.2201 | Loss: 0.951687
Episode 303/400 | Reward: 369.0 | Epsilon: 0.2190 | Loss: 0.922805
Episode 304/400 | Reward: 197.0 | Epsilon: 0.2179 | Loss: 0.576012
Episode 305/400 | Reward: 296.0 | Epsilon: 0.2168 | Loss: 0.821850
Episode 306/400 | Reward: 307.0 | Epsilon: 0.2157 | Loss: 0.923537
Episode 307/400 | Reward: 500.0 | Epsilon: 0.2146 | Loss: 1.113226
Episode 308/400 | Reward: 120.0 | Epsilon: 0.2136 | Loss: 1.320123
Episode 309/400 | Reward: 152.0 | Epsilon: 0.2125 | Loss: 0.882117
Episode 310/400 | Reward: 500.0 | Epsilon: 0.2114 | Loss: 0.913575
